1;1;ABERGEMENT-CLEMENCIAT
2;1;ABERGEMENT-DE-VAREY
3;1;AMAREINS
4;1;AMBERIEU-EN-BUGEY
5;1;AMBERIEUX-EN-DOMBES
6;1;AMBLEON
7;1;AMBRONAY
8;1;AMBUTRIX
9;1;ANDERT-ET-CONDON
10;1;ANGLEFORT
11;1;APREMONT
12;1;ARANC
13;1;ARANDAS
14;1;ARBENT
15;1;ARBIGNIEU
16;1;ARBIGNY
17;1;ARGIS
18;1;ARLOD
19;1;ARMIX
20;1;ARNANS
21;1;ARS-SUR-FORMANS
22;1;ARTEMARE
23;1;ASNIERES-SUR-SAONE
24;1;ATTIGNAT
25;1;BAGE-LA-VILLE
26;1;BAGE-LE-CHATEL
27;1;BALAN
28;1;BANEINS
29;1;BEAUPONT
30;1;BEAUREGARD
31;1;BELLIGNAT
32;1;BELIGNEUX
33;1;BELLEGARDE-SUR-VALSERINE
34;1;BELLEY
35;1;BELLEYDOUX
36;1;BELMONT-LUTHEZIEU
37;1;BENONCES
38;1;BENY
39;1;BEON
40;1;BEREZIAT
41;1;BETTANT
42;1;BEY
43;1;BEYNOST
44;1;BILLIAT
45;1;BIRIEUX
46;1;BIZIAT
47;1;BLYES
48;1;BOHAS
49;1;BOISSE
50;1;BOISSEY
51;1;BOLOZON
52;1;BOULIGNEUX
53;1;BOURG-EN-BRESSE
54;1;BOURG-EN-BRESSE
55;1;BOURG-EN-BRESSE
56;1;BOURG-SAINT-CHRISTOPHE
57;1;BOUVENT
58;1;BOYEUX-SAINT-JEROME
59;1;BOZ
60;1;BREGNIER-CORDON
61;1;BRENAZ
62;1;BRENOD
63;1;BRENS
64;1;BRESSOLLES
65;1;BRION
66;1;BRIORD
67;1;BUELLAS
68;1;BURBANCHE
69;1;CEIGNES
70;1;CERDON
71;1;CERTINES
72;1;CESSEINS
73;1;CESSY
74;1;CEYZERIAT
75;1;CEYZERIEU
76;1;CHALAMONT
77;1;CHALEINS
78;1;CHALEY
79;1;CHALLES-LA-MONTAGNE
80;1;CHALLEX
81;1;CHAMPAGNE-EN-VALROMEY
82;1;CHAMPDOR
83;1;CHAMPFROMIER
84;1;CHANAY
85;1;CHANEINS
86;1;CHANOZ-CHATENAY
87;1;CHAPELLE-DU-CHATELARD
88;1;CHARANCIN
89;1;CHARIX
90;1;CHARNOZ-SUR-AIN
91;1;CHATEAU-GAILLARD
92;1;CHATENAY
93;1;CHATILLON-EN-MICHAILLE
94;1;CHATILLON-LA-PALUD
95;1;CHATILLON-SUR-CHALARONNE
96;1;CHAVANNES-SUR-REYSSOUZE
97;1;CHAVANNES-SUR-SURAN
98;1;CHAVEYRIAT
99;1;CHAVORNAY
100;1;CHAZEY-BONS
101;1;CHAZEY-SUR-AIN
102;1;CHEIGNIEU-LA-BALME
103;1;CHEVILLARD
